Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1312,1,2021-04-01,STL,@,CIN,W 11-6,CG,5,5,3,4,2,0,0,1,0,0,0,0,.800,.800,1.200,2.000,6,0,0,0,0,0,.800,0.36,0.096,0.39,0.06%,2.56,2,1B
2,1313,2,2021-04-03,STL,@,CIN,L 6-9,CG,5,4,1,1,0,0,0,0,0,0,1,3,.556,.600,.778,1.378,1,0,0,0,0,0,1.000,0.33,-0.001,0.36,0.00%,-0.07,2,1B
3,1314,3,2021-04-04,STL,@,CIN,L 1-12,GS-8,4,4,0,0,0,0,0,0,0,0,0,1,.385,.429,.538,.967,0,0,0,0,0,0,.000,1.04,-0.089,1.12,-0.06%,-1.39,2,1B
4,1315,4,2021-04-05,STL,@,MIA,W 4-1,CG,4,3,1,1,0,0,0,0,0,0,1,1,.375,.444,.500,.944,1,0,0,0,0,0,.500,0.55,0.055,0.52,0.03%,0.79,2,1B
5,1316,5,2021-04-06,STL,@,MIA,W 4-2,CG,5,5,1,1,0,0,0,0,0,0,0,2,.333,.391,.429,.820,1,0,0,0,0,0,.333,1.16,-0.009,1.16,-0.01%,-0.33,2,1B
6,1317,6,2021-04-07,STL,@,MIA,W 7-0,CG,5,5,0,1,0,0,0,1,0,0,0,0,.308,.357,.385,.742,1,1,0,0,0,0,.200,0.78,-0.053,0.81,-0.03%,-0.70,2,1B
7,1318,8,2021-04-10,STL,,MIL,L 5-9,CG,5,4,0,1,0,0,0,0,0,0,1,1,.300,.364,.367,.730,1,0,0,0,0,0,.333,0.79,0.041,0.94,0.03%,0.02,2,1B
8,1319,9,2021-04-11,STL,,MIL,L 3-9,CG,5,5,0,0,0,0,0,0,0,0,0,0,.257,.316,.314,.630,0,1,0,0,0,0,.000,0.45,-0.085,0.53,-0.06%,-1.61,2,1B
9,1320,10,2021-04-12,STL,,WSN,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.231,.286,.282,.568,0,0,0,0,0,0,.000,1.09,-0.113,1.08,-0.07%,-0.92,2,1B
10,1321,11,2021-04-13,STL,,WSN,W 14-3,GS-6,4,4,2,2,0,0,1,3,0,0,0,0,.256,.304,.372,.676,5,0,0,0,0,0,.333,0.73,0.076,0.68,0.04%,1.91,2,1B
11,1322,12,2021-04-14,STL,,WSN,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.234,.280,.340,.620,0,0,0,0,0,0,.000,0.83,-0.084,0.83,-0.05%,-1.08,2,1B
12,1323,13,2021-04-16,STL,@,PHI,L 2-9,CG,4,4,0,1,0,0,0,0,0,0,0,2,.235,.278,.333,.611,1,0,0,0,0,0,.500,0.49,-0.037,0.47,-0.02%,-0.50,2,1B
13,1324,14,2021-04-17,STL,@,PHI,W 9-4,CG,5,4,2,2,0,0,0,0,0,0,1,0,.255,.305,.345,.651,2,0,0,0,0,0,.500,0.53,0.083,0.51,0.05%,0.66,2,1B
14,1325,15,2021-04-18,STL,@,PHI,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.237,.286,.322,.608,0,0,0,0,0,0,.000,0.75,-0.079,0.74,-0.05%,-0.66,2,1B
15,1326,16,2021-04-19,STL,@,WSN,W 12-5,CG,5,5,2,3,0,0,1,2,0,0,0,1,.266,.309,.391,.699,6,0,0,0,0,0,.667,0.28,0.067,0.27,0.04%,1.97,2,1B
16,1327,17,2021-04-20,STL,@,WSN,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.250,.292,.368,.659,0,1,0,0,0,0,.000,0.99,-0.155,0.99,-0.09%,-1.18,2,1B
17,1328,18,2021-04-21,STL,@,WSN,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.236,.276,.347,.624,0,0,0,0,0,0,.000,1.38,-0.134,1.26,-0.07%,-0.97,2,1B
18,1329,19,2021-04-23,STL,,CIN,W 5-4,CG,4,3,1,1,1,0,0,2,0,0,1,2,.240,.288,.360,.648,2,0,0,0,0,0,1.000,0.63,0.143,0.62,0.09%,1.85,3,1B
19,1330,20,2021-04-24,STL,,CIN,W 2-0,CG,4,4,0,1,0,0,0,0,0,0,0,1,.241,.286,.354,.640,1,0,0,0,0,0,.333,0.97,-0.029,1.06,-0.02%,-0.02,3,1B
20,1331,21,2021-04-25,STL,,CIN,W 5-2,CG,4,4,0,1,0,0,0,2,1,0,0,1,.241,.284,.349,.633,1,0,0,0,0,0,.333,0.57,-0.018,0.64,-0.01%,0.23,3,1B
21,1332,22,2021-04-26,STL,,PHI,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.230,.272,.333,.605,0,0,0,0,0,0,.000,1.80,-0.193,1.89,-0.12%,-0.70,3,1B
22,1333,23,2021-04-27,STL,,PHI,W 5-2,CG,4,4,0,1,1,0,0,2,0,0,0,2,.231,.271,.341,.611,2,0,0,0,0,0,.500,0.95,0.092,0.94,0.06%,1.22,3,1B
23,1334,24,2021-04-28,STL,,PHI,L 3-5,CG,4,3,1,1,0,0,1,1,0,0,1,0,.234,.280,.372,.652,4,0,0,0,0,0,.000,1.13,0.082,1.16,0.05%,0.81,3,1B
24,1335,25,2021-04-29,STL,,PHI,W 4-3 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,1,.224,.269,.357,.626,0,0,0,0,0,0,.000,0.84,-0.083,0.87,-0.05%,-0.56,3,1B
25,1336,26,2021-04-30,STL,@,PIT,W 7-3,CG,5,5,0,0,0,0,0,0,0,0,0,3,.214,.257,.340,.597,0,0,0,0,0,0,.000,0.67,-0.059,0.79,-0.04%,-0.07,3,1B
