Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,336,1,2022-04-07,CIN,@,ATL,W 6-3,CG,4,4,1,2,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,2,0,0,0,0,0,.667,0.73,0.105,0.68,0.06%,0.94,8,SS
2,337,2,2022-04-08,CIN,@,ATL,L 6-7,CG,4,4,1,1,0,0,0,1,0,0,0,1,.375,.375,.375,.750,1,0,0,0,0,0,.333,0.60,-0.003,0.58,0.00%,0.45,8,SS
3,338,3,2022-04-09,CIN,@,ATL,L 1-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.273,.273,.273,.545,0,0,0,0,0,0,.000,0.81,-0.062,0.75,-0.04%,-0.51,8,SS
4,339,4,2022-04-10,CIN,@,ATL,W 6-3,CG,4,3,0,2,1,0,0,2,1,0,1,0,.357,.400,.429,.829,3,0,0,0,0,0,.667,0.73,0.107,0.65,0.06%,2.17,8,SS
5,340,5,2022-04-12,CIN,,CLE,L 5-10,CG,3,2,1,1,0,0,0,0,0,0,1,0,.375,.444,.438,.882,1,0,0,0,0,0,.500,0.99,0.069,0.91,0.04%,0.49,8,SS
6,341,6,2022-04-13,CIN,,CLE,L 3-7,CG,4,3,0,0,0,0,0,0,0,0,0,2,.316,.409,.368,.778,0,0,1,0,0,0,.000,0.40,0.004,0.34,0.00%,-0.26,6,SS
7,342,7,2022-04-14,CIN,@,LAD,L 3-9,CG,4,3,0,0,0,0,0,0,0,0,1,1,.273,.385,.318,.703,0,0,0,0,0,0,.000,1.04,-0.041,0.90,-0.02%,-0.31,8,SS
8,343,8,2022-04-15,CIN,@,LAD,L 1-3,CG,4,4,0,2,1,0,0,1,0,0,0,0,.308,.400,.385,.785,3,0,0,0,0,0,.500,0.99,0.053,0.82,0.03%,0.76,8,SS
9,344,9,2022-04-16,CIN,@,LAD,L 2-5,CG,4,4,1,1,0,0,0,0,0,0,0,0,.300,.382,.367,.749,1,0,0,0,0,0,.250,0.74,-0.050,0.56,-0.02%,0.03,1,SS
10,345,10,2022-04-17,CIN,@,LAD,L 1-9,GS-6,3,3,0,1,1,0,0,0,0,0,0,1,.303,.378,.394,.772,2,0,0,0,0,0,.500,0.64,0.014,0.45,0.01%,-0.10,1,SS
11,346,11,2022-04-18,CIN,@,SDP,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,2,.297,.366,.378,.744,1,0,0,0,0,0,.500,1.53,-0.075,1.02,-0.03%,-0.74,1,SS
12,347,12,2022-04-19,CIN,@,SDP,L 2-6,CG,4,4,0,2,0,0,0,1,0,0,0,0,.317,.378,.390,.768,2,0,0,0,0,0,.500,0.63,0.009,0.38,0.00%,0.62,2,SS
13,348,13,2022-04-20,CIN,@,SDP,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.289,.347,.356,.703,0,0,0,0,0,0,.000,0.88,-0.085,0.50,-0.03%,-0.86,1,SS
14,349,14,2022-04-22,CIN,,STL,L 2-4,CG,5,5,0,0,0,0,0,1,0,0,0,2,.260,.315,.320,.635,0,1,0,0,0,0,.000,1.52,-0.266,0.83,-0.09%,-1.93,1,SS
15,350,15,2022-04-23,CIN,,STL,L 0-5,CG,3,1,0,0,0,0,0,0,0,1,1,0,.255,.333,.314,.647,0,0,1,0,0,0,.000,0.88,-0.041,0.43,-0.01%,-0.29,5,SS
16,351,16,2022-04-24,CIN,,STL,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.236,.311,.291,.602,0,0,0,0,0,0,.000,0.54,-0.068,0.23,-0.02%,-1.15,2,SS
