Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,193,1,2024-03-28,DET,@,CHW,W 1-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.99,-0.097,0.98,-0.06%,-1.01,0.00,0.00,3,LF
2,194,2,2024-03-30,DET,@,CHW,W 7-6 (10),CG(10),5,4,2,1,0,0,1,1,0,0,1,0,.125,.222,.500,.722,4,0,0,0,0,0,.000,1.36,0.068,1.39,0.04%,0.92,18.00,24.90,3,RF
3,195,3,2024-03-31,DET,@,CHW,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.083,.154,.333,.487,0,0,0,0,0,0,.000,1.05,-0.107,1.10,-0.07%,-0.83,0.00,0.00,4,DH
4,196,4,2024-04-01,DET,@,NYM,W 5-0 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,1,.067,.176,.267,.443,0,0,0,0,0,0,.000,1.80,-0.021,1.84,-0.01%,-0.17,2.00,3.00,4,CF RF LF
5,197,5,2024-04-04 (1),DET,@,NYM,W 6-3 (11),CG(11),5,4,2,2,0,0,1,1,0,0,1,0,.158,.273,.474,.746,5,0,0,0,0,0,.333,1.97,0.403,1.95,0.24%,1.82,21.00,27.90,4,RF LF
6,198,6,2024-04-04 (2),DET,@,NYM,L 1-2,CG,4,2,0,0,0,0,0,0,0,0,2,0,.143,.308,.429,.736,0,0,0,0,0,0,.000,0.75,0.014,0.77,0.01%,0.31,4.00,6.00,4,DH
7,199,7,2024-04-05,DET,,OAK,W 5-4,CG,4,4,0,1,0,0,0,1,0,0,0,1,.160,.300,.400,.700,1,0,0,0,0,0,.333,1.10,-0.078,1.19,-0.05%,-0.07,5.00,6.50,4,LF
8,200,8,2024-04-06,DET,,OAK,L 0-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.138,.265,.345,.610,0,0,0,0,0,0,.000,0.95,-0.103,1.04,-0.07%,-1.10,0.00,0.00,4,LF
9,201,9,2024-04-07,DET,,OAK,L 1-7,CG,4,3,1,2,0,0,1,1,0,0,1,1,.188,.316,.469,.785,5,0,0,0,0,0,1.000,0.80,0.087,0.86,0.06%,1.74,19.00,24.70,2,RF LF
10,202,10,2024-04-08,DET,@,PIT,L 4-7,CG,5,4,1,1,1,0,0,1,0,0,1,1,.194,.326,.472,.798,2,0,0,0,0,0,.333,0.81,0.031,0.82,0.02%,1.40,11.00,15.70,2,LF
11,203,11,2024-04-09,DET,@,PIT,W 5-3,CG,4,3,1,1,0,0,0,0,0,0,1,0,.205,.340,.462,.802,1,0,0,0,0,0,.333,1.46,0.059,1.42,0.04%,0.49,7.00,9.20,3,LF
12,204,12,2024-04-12,DET,,MIN,W 8-2,GS-8,4,3,2,1,1,0,0,1,0,0,1,1,.214,.353,.476,.829,2,0,0,0,0,0,.500,0.61,0.042,0.68,0.03%,1.24,13.00,18.90,1,LF
13,205,13,2024-04-13 (1),DET,,MIN,L 5-11 (12),CG(12),6,5,0,2,0,0,0,1,0,0,1,3,.234,.368,.468,.837,2,0,0,0,0,1,1.000,0.87,-0.027,1.01,-0.02%,0.79,10.00,12.50,1,CF DH
14,206,14,2024-04-13 (2),DET,,MIN,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.216,.344,.431,.776,0,0,0,0,0,0,.000,0.92,-0.093,1.05,-0.06%,-0.85,0.00,0.00,1,LF
15,207,15,2024-04-14,DET,,MIN,W 4-3,CG,4,4,1,2,1,0,0,0,0,0,0,1,.236,.354,.455,.808,3,0,0,0,0,0,.667,1.15,0.135,1.25,0.09%,0.97,10.00,12.20,1,LF
16,208,16,2024-04-15,DET,,TEX,L 0-1,CG,4,2,0,0,0,0,0,0,0,0,2,1,.228,.362,.439,.801,0,0,0,0,0,0,.000,1.77,0.033,1.95,0.02%,0.46,4.00,6.00,1,LF
17,209,17,2024-04-16,DET,,TEX,W 4-2,CG,4,3,1,0,0,0,0,0,0,0,1,3,.217,.356,.417,.773,0,0,0,0,0,0,,1.01,-0.056,1.02,-0.03%,-0.31,4.00,6.20,1,LF
18,210,18,2024-04-17,DET,,TEX,L 4-5,CG,5,3,0,1,0,0,0,0,0,0,2,2,.222,.372,.413,.784,1,0,0,0,0,0,1.000,1.41,0.004,1.47,0.00%,0.37,7.00,9.00,1,DH
19,211,19,2024-04-18,DET,,TEX,L 7-9,CG,5,4,2,2,1,1,0,1,0,0,1,1,.239,.386,.463,.848,5,0,0,0,0,0,.667,1.18,0.144,1.24,0.09%,1.01,21.00,27.90,1,LF
20,212,20,2024-04-19,DET,@,MIN,W 5-4,8-8,1,1,0,0,0,0,0,0,0,0,0,1,.235,.381,.456,.837,0,0,0,0,0,0,,4.00,-0.143,4.03,-0.09%,-0.69,0.00,0.00,5,PH
