Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,148,1,2023-03-30,CLE,@,SEA,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.70,-0.073,0.66,-0.04%,-0.70,1,LF
2,149,2,2023-03-31,CLE,@,SEA,W 9-4,CG,6,4,0,2,1,0,0,5,0,0,1,1,.250,.300,.375,.675,3,0,0,0,1,0,.500,1.24,0.326,1.13,0.18%,3.08,1,LF
3,150,3,2023-04-01,CLE,@,SEA,W 2-0,CG,4,4,0,1,0,0,0,0,0,0,0,2,.250,.286,.333,.619,1,0,0,0,0,0,.500,0.70,-0.046,0.65,-0.03%,-0.55,1,LF
4,151,4,2023-04-02,CLE,@,SEA,W 6-5 (10),CG(10),5,5,0,1,0,0,0,1,0,0,0,0,.235,.263,.294,.557,1,1,0,0,0,0,.200,2.07,-0.119,2.02,-0.07%,-0.90,1,LF
5,152,5,2023-04-03,CLE,@,OAK,W 12-11 (10),CG(10),6,5,3,2,1,0,0,1,0,0,0,0,.273,.280,.364,.644,3,0,0,0,1,0,.333,1.37,0.113,1.47,0.07%,0.50,1,LF
6,153,6,2023-04-04,CLE,@,OAK,L 3-4,CG,4,4,0,2,0,0,0,0,0,0,0,0,.308,.310,.385,.695,2,0,0,0,0,0,.500,1.55,0.016,1.64,0.01%,0.40,1,LF
7,154,7,2023-04-05,CLE,@,OAK,W 6-4 (10),CG(10),6,5,0,2,0,0,0,1,1,1,1,0,.323,.343,.387,.730,2,0,0,0,0,0,.400,1.19,0.189,1.27,0.12%,0.29,1,LF
8,155,8,2023-04-07,CLE,,SEA,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.286,.308,.343,.651,0,0,0,0,0,0,.000,0.79,-0.081,0.85,-0.05%,-0.88,1,LF
9,156,9,2023-04-08,CLE,,SEA,L 2-3,CG,5,4,0,1,0,0,0,0,0,0,1,1,.282,.318,.333,.652,1,1,0,0,0,0,.333,2.01,-0.169,2.15,-0.11%,-0.86,1,LF
10,157,10,2023-04-09,CLE,,SEA,W 7-6 (12),CG(12),6,4,1,2,0,1,0,0,1,0,2,0,.302,.360,.395,.755,4,0,0,0,0,2,.500,2.95,0.108,3.00,0.07%,1.59,1,LF
11,158,11,2023-04-10,CLE,,NYY,W 3-2,CG,5,3,1,0,0,0,0,0,1,0,2,0,.283,.364,.370,.733,0,0,0,0,0,0,.000,1.66,-0.010,1.77,-0.01%,-0.81,1,LF
12,159,12,2023-04-11,CLE,,NYY,L 2-11,CG,4,4,1,1,0,0,0,0,0,0,0,0,.280,.356,.360,.716,1,0,0,0,0,0,.250,0.46,0.008,0.52,0.01%,-0.18,1,LF
13,160,13,2023-04-12,CLE,,NYY,L 3-4,CG,5,3,1,1,0,0,0,0,0,0,2,0,.283,.375,.358,.733,1,0,0,0,0,0,.333,1.83,0.150,2.00,0.10%,1.00,1,LF
14,161,14,2023-04-14,CLE,@,WSN,W 4-3,CG,5,4,0,0,0,0,0,0,0,0,1,0,.263,.362,.333,.696,0,0,0,0,0,0,.000,1.27,-0.089,1.21,-0.05%,-0.97,1,LF
15,162,15,2023-04-15,CLE,@,WSN,W 6-4,CG,5,4,0,0,0,0,0,0,1,0,1,0,.246,.351,.311,.663,0,0,0,0,0,0,.000,1.15,-0.076,1.18,-0.05%,-0.60,1,LF
16,163,16,2023-04-16,CLE,@,WSN,L 6-7,CG,5,5,1,2,0,0,0,2,1,0,0,1,.258,.354,.318,.673,2,0,0,0,0,0,.500,1.80,0.006,1.86,0.00%,0.79,1,DH
17,164,17,2023-04-18 (1),CLE,@,DET,L 3-4,CG,4,3,0,1,0,0,0,0,0,0,1,0,.261,.361,.319,.680,1,0,0,0,0,0,.333,1.00,0.067,1.11,0.05%,0.42,1,LF
18,165,18,2023-04-18 (2),CLE,@,DET,L 0-1,8-8,1,1,0,0,0,0,0,0,0,0,0,0,.257,.357,.314,.671,0,0,0,0,0,0,.000,2.87,-0.082,3.28,-0.06%,-0.33,9,PH
19,166,19,2023-04-19,CLE,@,DET,W 3-2,CG,4,3,1,0,0,0,0,0,0,0,1,0,.247,.352,.301,.654,0,2,0,0,0,0,.000,1.01,-0.050,1.05,-0.03%,-0.92,1,LF
20,167,20,2023-04-22 (1),CLE,,MIA,L 1-6,CG,4,3,0,0,0,0,0,0,0,0,1,0,.237,.348,.289,.637,0,0,0,0,0,0,.000,1.09,-0.207,1.09,-0.12%,-1.51,1,LF
21,168,21,2023-04-22 (2),CLE,,MIA,L 2-3,CG,5,5,0,2,0,0,0,1,0,0,0,2,.247,.351,.296,.647,2,0,0,0,0,0,.667,2.61,-0.041,2.51,-0.02%,0.47,1,LF
22,169,22,2023-04-23,CLE,,MIA,W 7-4,CG,5,5,1,1,0,0,0,0,0,0,0,0,.244,.343,.291,.634,1,0,0,0,0,0,.200,0.47,-0.046,0.44,-0.03%,-0.29,1,LF
23,170,23,2023-04-24,CLE,,COL,L 0-6,CG,4,4,0,3,1,0,0,0,0,0,0,0,.267,.358,.322,.681,4,0,0,0,0,0,.750,0.63,0.101,0.61,0.06%,0.91,1,LF
24,171,24,2023-04-25,CLE,,COL,L 1-5,CG,4,4,1,1,0,0,0,0,1,0,0,1,.266,.355,.319,.674,1,0,0,0,0,0,.333,0.56,0.005,0.50,0.00%,0.47,1,LF
25,172,25,2023-04-26,CLE,,COL,W 4-1,CG,5,3,0,0,0,0,0,0,1,0,2,1,.258,.357,.309,.666,0,0,0,0,0,0,.000,0.54,0.006,0.47,0.00%,0.34,1,LF
26,173,26,2023-04-28,CLE,@,BOS,W 5-2,CG,5,5,1,2,0,0,0,0,0,0,0,1,.265,.358,.314,.672,2,0,0,0,0,0,.500,0.49,0.010,0.47,0.01%,-0.12,1,LF
27,174,27,2023-04-29,CLE,@,BOS,L 7-8 (10),CG(10),6,5,1,3,0,0,0,0,0,0,1,1,.280,.373,.327,.700,3,0,0,0,0,0,.750,1.59,0.054,1.61,0.03%,0.68,1,LF
28,175,28,2023-04-30,CLE,@,BOS,L 1-7,CG,4,4,1,1,1,0,0,0,0,0,0,0,.279,.369,.333,.703,2,0,0,0,0,0,.250,0.69,0.040,0.66,0.02%,0.01,1,LF
