Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,36,4,2024-03-31,TOR,@,TBR,W 9-2,CG,5,4,1,1,0,0,1,2,0,0,1,2,.250,.400,1.000,1.400,4,0,0,0,0,0,.000,0.27,0.040,0.26,0.02%,1.51,18.00,25.20,7,LF
2,37,5,2024-04-01,TOR,@,HOU,L 0-10,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.400,1.000,1.400,0,,0,0,,,,,,,,,0.00,0.00,3,2B
3,38,6,2024-04-02,TOR,@,HOU,W 2-1,GS-9,4,4,1,1,0,0,1,2,0,0,0,2,.250,.333,1.000,1.333,4,0,0,0,0,0,.000,2.00,0.609,1.79,0.33%,0.99,16.00,22.20,5,LF
4,39,7,2024-04-03,TOR,@,HOU,L 0-8,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.333,1.000,1.333,0,,0,0,,,,,,,,,0.00,0.00,3,2B
5,40,8,2024-04-05,TOR,@,NYY,W 3-0,GS-8,4,4,0,0,0,0,0,0,0,0,0,1,.167,.231,.667,.897,0,0,0,0,0,0,.000,0.98,-0.099,0.90,-0.06%,-0.86,0.00,0.00,5,LF
6,41,9,2024-04-06,TOR,@,NYY,L 8-9,7-GF,2,2,1,1,1,0,0,1,0,0,0,0,.214,.267,.714,.981,2,0,0,0,0,0,.500,0.89,0.045,0.88,0.03%,0.77,9.00,12.70,7,PH LF
7,42,10,2024-04-07,TOR,@,NYY,L 3-8,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.200,.250,.667,.917,0,0,0,0,0,0,.000,1.21,-0.029,1.16,-0.02%,-0.29,0.00,0.00,7,PH LF
8,43,11,2024-04-08,TOR,,SEA,W 5-2,GS-8,4,4,0,2,0,0,0,2,0,0,0,1,.263,.300,.632,.932,2,0,0,0,0,0,.667,0.94,0.086,0.77,0.04%,1.62,10.00,13.00,5,LF
9,44,12,2024-04-09,TOR,,SEA,W 5-3,CG,4,3,0,0,0,0,0,0,0,0,0,1,.227,.292,.545,.837,0,0,1,0,0,0,.000,0.37,-0.035,0.33,-0.02%,-0.55,2.00,3.00,5,LF
10,45,13,2024-04-10,TOR,,SEA,L 1-6 (10),9-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,.227,.292,.545,.837,0,,0,0,,,,,,,,,0.00,0.00,4,PR LF
11,46,14,2024-04-12,TOR,,COL,L 4-12,9-GF,1,1,1,1,1,0,0,0,0,0,0,0,.261,.320,.609,.929,2,0,0,0,0,0,1.000,0.00,0.000,0.00,0.00%,1.00,7.00,9.20,1,2B
12,47,15,2024-04-13,TOR,,COL,W 5-3,GS-8,4,2,1,1,0,0,0,1,0,0,2,0,.280,.379,.600,.979,1,0,0,0,0,0,.500,0.94,0.097,0.75,0.05%,1.28,11.00,15.70,6,LF
13,48,16,2024-04-14,TOR,,COL,W 5-0,GS-9,4,4,0,0,0,0,0,0,0,0,0,2,.241,.333,.517,.851,0,0,0,0,0,0,.000,0.40,-0.043,0.33,-0.02%,-0.92,0.00,0.00,5,LF
14,49,18,2024-04-16,TOR,,NYY,W 5-4,GS-9,4,4,0,0,0,0,0,0,0,0,0,2,.212,.297,.455,.752,0,0,0,0,0,0,.000,1.23,-0.127,1.31,-0.08%,-1.50,0.00,0.00,5,LF
15,50,19,2024-04-17,TOR,,NYY,L 4-6,GS-9,4,4,1,1,0,0,0,0,0,0,0,1,.216,.293,.432,.725,1,0,0,0,0,0,.333,0.70,-0.031,0.78,-0.02%,-0.48,5.00,6.20,6,2B
