Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,287,1,2022-04-08,BAL,@,TBR,L 1-2,CG,4,3,1,1,0,0,1,1,0,0,1,1,.333,.500,1.333,1.833,4,0,0,0,0,0,.000,1.91,0.085,1.83,0.05%,0.11,5,LF
2,288,2,2022-04-09,BAL,@,TBR,L 3-5,CG,4,3,0,2,0,0,0,0,0,0,0,0,.500,.625,1.000,1.625,2,0,1,0,0,0,.667,0.70,0.041,0.64,0.02%,0.33,3,LF
3,289,3,2022-04-10,BAL,@,TBR,L 0-8,GS-8,3,2,0,0,0,0,0,0,0,0,1,0,.375,.545,.750,1.295,0,0,0,0,0,0,.000,1.00,-0.014,0.89,-0.01%,-0.40,3,DH
4,290,4,2022-04-11,BAL,,MIL,W 2-0,GS-9,4,2,0,2,1,0,0,0,0,0,2,0,.500,.667,.900,1.567,3,0,0,0,0,0,1.000,0.54,0.095,0.41,0.04%,1.59,3,RF
5,291,5,2022-04-12,BAL,,MIL,L 4-5,CG,4,3,0,0,0,0,0,0,0,0,1,2,.385,.579,.692,1.271,0,0,0,0,0,0,.000,2.37,0.045,1.91,0.02%,-0.22,6,RF
6,292,6,2022-04-13,BAL,,MIL,L 2-4,CG,4,2,0,1,0,0,0,0,0,0,1,0,.400,.609,.667,1.275,1,0,1,0,0,0,.500,1.86,0.069,1.40,0.03%,0.40,3,RF
7,293,7,2022-04-15,BAL,,NYY,W 2-1 (11),CG(11),5,4,0,0,0,0,0,0,0,0,1,1,.316,.536,.526,1.062,0,0,0,0,0,1,.000,2.50,-0.122,2.03,-0.06%,-0.64,5,RF
8,294,8,2022-04-16,BAL,,NYY,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.304,.500,.478,.978,1,0,0,0,0,0,.250,0.74,-0.003,0.64,0.00%,-0.17,3,RF
9,295,9,2022-04-17,BAL,,NYY,W 5-0,CG,4,3,0,0,0,0,0,0,0,0,1,2,.269,.472,.423,.895,0,0,0,0,0,0,.000,1.82,-0.133,1.43,-0.06%,-1.05,4,RF DH
10,296,10,2022-04-18,BAL,@,OAK,L 1-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.241,.450,.379,.829,0,0,0,0,0,0,.000,0.62,-0.041,0.51,-0.02%,-0.02,3,LF
11,297,11,2022-04-19,BAL,@,OAK,L 1-2,CG,5,4,1,2,0,0,0,0,0,0,1,1,.273,.467,.394,.861,2,0,0,0,0,0,.667,1.54,0.016,1.19,0.01%,0.31,2,LF
12,298,12,2022-04-20,BAL,@,OAK,W 1-0,CG,4,4,0,2,1,0,0,0,0,0,0,0,.297,.469,.432,.902,3,0,0,0,0,0,.500,0.96,0.030,0.70,0.01%,0.39,2,LF
13,299,13,2022-04-21,BAL,@,OAK,L 4-6,CG,4,3,0,0,0,0,0,0,0,1,1,2,.275,.453,.400,.853,0,0,0,0,0,0,.000,0.76,-0.083,0.59,-0.04%,-0.83,2,LF
14,300,14,2022-04-22,BAL,@,LAA,W 5-3,GS-9,4,3,2,1,0,0,0,1,0,0,1,0,.279,.456,.395,.851,1,0,0,0,0,0,.333,0.76,0.041,0.57,0.02%,0.56,4,LF
15,301,15,2022-04-23,BAL,@,LAA,W 5-4,CG,5,3,2,0,0,0,0,0,0,0,1,0,.261,.452,.370,.821,0,0,1,0,0,0,.000,1.54,0.093,1.26,0.05%,0.71,2,DH
16,302,16,2022-04-24,BAL,@,LAA,L 6-7,CG,5,4,0,0,0,0,0,0,0,0,0,3,.240,.433,.340,.773,0,0,1,0,0,0,.000,2.17,-0.187,1.76,-0.09%,-1.24,3,RF
17,303,17,2022-04-26,BAL,@,NYY,L 8-12,CG,5,4,1,1,0,0,1,3,0,0,1,1,.241,.431,.389,.819,4,0,0,0,0,0,.000,0.47,0.043,0.38,0.02%,2.06,2,RF
18,304,18,2022-04-27,BAL,@,NYY,L 2-5,CG,4,4,1,1,0,0,1,2,0,0,0,2,.241,.421,.431,.852,4,0,0,0,0,0,.000,0.99,0.191,0.77,0.09%,1.17,3,DH
19,305,19,2022-04-28,BAL,@,NYY,L 5-10,CG,5,5,0,0,0,0,0,0,0,0,0,1,.222,.395,.397,.792,0,0,0,0,0,0,.000,0.71,-0.045,0.53,-0.02%,-0.84,2,RF
20,306,20,2022-04-29,BAL,,BOS,L 1-3,7-GF,2,0,0,0,0,0,0,0,0,0,2,0,.222,.410,.397,.806,0,0,0,0,0,0,,1.92,0.070,1.23,0.03%,0.28,7,PH LF
21,307,21,2022-04-30,BAL,,BOS,W 2-1 (10),CG(10),4,4,0,1,0,0,0,1,0,0,0,2,.224,.402,.388,.790,1,0,0,0,0,0,.500,1.87,0.191,1.06,0.07%,0.23,2,RF
22,308,22,2022-05-01,BAL,,BOS,W 9-5,GS-8,4,3,1,2,0,0,0,3,0,1,0,0,.243,.407,.400,.807,2,0,0,0,1,0,.500,1.21,0.071,0.76,0.03%,1.67,2,RF
23,309,23,2022-05-02,BAL,,MIN,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.243,.400,.392,.792,1,0,0,0,0,0,.250,1.74,-0.004,1.14,0.00%,0.12,3,RF
24,310,24,2022-05-03,BAL,,MIN,L 2-7,CG,4,2,0,0,0,0,0,0,0,0,1,0,.237,.404,.382,.786,0,0,1,0,0,0,.000,0.99,-0.020,0.59,-0.01%,-0.10,3,RF
