Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,620,1,2022-04-07,KCR,,CLE,W 3-1,CG,4,4,0,1,0,0,0,1,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,0.88,0.027,0.88,0.02%,0.61,3,LF
2,621,2,2022-04-09,KCR,,CLE,W 1-0 (10),CG(10),4,4,0,3,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,3,0,0,0,0,0,.750,1.18,0.080,1.23,0.05%,0.54,3,LF
3,622,3,2022-04-10,KCR,,CLE,L 3-17,GS-7,3,2,0,0,0,0,0,0,0,0,1,1,.400,.455,.400,.855,0,0,0,0,0,0,.000,0.15,-0.002,0.16,0.00%,-0.68,3,LF
4,623,4,2022-04-11,KCR,,CLE,L 7-10,CG,5,3,2,3,0,0,1,3,0,0,2,0,.538,.625,.769,1.394,6,0,0,0,0,0,1.000,1.30,0.263,1.30,0.16%,3.33,3,LF
5,624,5,2022-04-12,KCR,@,STL,L 5-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.412,.500,.588,1.088,0,0,0,0,0,0,.000,1.01,-0.100,0.89,-0.05%,-0.84,3,LF
6,625,6,2022-04-14,KCR,,DET,L 2-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.381,.458,.524,.982,1,0,0,0,0,0,.333,0.90,-0.093,0.84,-0.05%,-0.82,3,LF
7,626,7,2022-04-15,KCR,,DET,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.320,.393,.440,.833,0,0,0,0,0,0,.000,1.63,-0.114,1.45,-0.06%,-0.57,4,LF
8,627,8,2022-04-16,KCR,,DET,W 3-1,CG,4,3,0,2,0,0,0,0,0,0,1,0,.357,.438,.464,.902,2,0,0,0,0,0,.667,0.90,0.118,0.75,0.06%,1.55,3,LF
9,628,9,2022-04-19,KCR,,MIN,W 4-3,CG,4,4,0,2,0,0,0,0,0,0,0,2,.375,.444,.469,.913,2,0,0,0,0,0,1.000,1.05,-0.082,0.90,-0.04%,-0.56,5,LF
10,629,10,2022-04-20,KCR,,MIN,W 2-0,CG,3,3,1,1,0,0,0,0,0,0,0,1,.371,.436,.457,.893,1,0,0,0,0,0,.500,0.69,0.000,0.65,0.00%,-0.08,5,LF
11,630,11,2022-04-21,KCR,,MIN,L 0-1,CG,4,4,0,1,0,1,0,0,0,0,0,1,.359,.419,.487,.906,3,0,0,0,0,0,.333,1.92,-0.093,1.90,-0.06%,0.10,3,LF
12,631,12,2022-04-22,KCR,@,SEA,L 1-4,CG,4,4,0,2,0,0,0,0,0,0,0,0,.372,.426,.488,.914,2,0,0,0,0,0,.500,0.63,0.012,0.59,0.01%,0.13,3,LF
13,632,13,2022-04-23,KCR,@,SEA,L 7-13,CG,5,5,1,2,0,0,0,1,0,0,0,1,.375,.423,.479,.902,2,0,0,0,0,0,.500,0.85,-0.013,0.74,-0.01%,0.11,3,LF
14,633,14,2022-04-24,KCR,@,SEA,L 4-5 (12),10-10,1,1,0,1,0,0,0,1,0,0,0,0,.388,.434,.490,.924,1,0,0,0,0,0,1.000,3.94,0.181,3.22,0.09%,0.76,9,PH
15,634,15,2022-04-26,KCR,@,CHW,W 6-0,CG,5,5,1,2,0,0,0,1,0,0,0,0,.389,.431,.481,.913,2,0,0,0,0,0,.400,0.58,0.010,0.47,0.01%,0.38,2,LF
